取樣日期,經度,緯度,深度(M),銫-137活度,銫-137單位,氚活度,氚單位,類別,地點編號,地點,取樣單位/人,備註
106/03/14,"22°20'18.03""","120°53'55.88""",,－,貝克/公斤-乾重,,,沉積物,R-9,大武漁港,偵測中心,岸沙
106/03/14,"23°06'25.04""","121°23'21.34""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
106/03/15,"23°58'34.40""","121°37'11.12""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
106/03/21,"24°50'46.60""","120°55'25.45""",,－,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
106/03/22,"23°58'19.57""","120°19'25.65""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
106/03/23,"23°27'02.55""","120°08'15.46""",,－,貝克/公斤-乾重,,,沉積物,R-2,東石漁港,偵測中心,岸沙
106/03/31,"22°37'28.76""","120°15'48.20""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
106/04/06,"24°34'55.12""","121°52'06.06""",,－,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
106/04/07,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
106/08/29,"23°58'19.57""","120°19'25.65""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
106/08/29,"23°27'02.55""","120°08'15.46""",,－,貝克/公斤-乾重,,,沉積物,R-2,東石漁港,偵測中心,岸沙
106/08/30,"23°58'34.40""","121°37'11.12""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
106/08/30,"24°50'46.60""","120°55'25.45""",,－,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
106/08/31,"23°06'25.04""","121°23'21.34""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
106/09/01,"22°20'18.03""","120°53'55.88""",,－,貝克/公斤-乾重,,,沉積物,R-9,大武漁港,偵測中心,岸沙
106/09/19,"24°34'55.12""","121°52'06.06""",,－,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
106/09/20,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
106/09/22,"22°37'28.76""","120°15'48.20""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
106/09/27,"22°03'27.24""","119°48'01.25""",,－,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物(王兆璋老師)
106/09/28,"22°03'35.57""","119°48'00.81""",,－,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物(王兆璋老師)
106/11/07,"22°02'58.99""","121°33'51.99""",,－,貝克/公斤-乾重,,,沉積物,,東清灣,中山大學,岸沙
106/11/07,"22°01'28.99""","121°33'10.00""",,－,貝克/公斤-乾重,,,沉積物,,紅頭村,中山大學,岸沙
106/11/07,"22°02'13.99""","121°31'32.99""",,－,貝克/公斤-乾重,,,沉積物,,蜜月灣,中山大學,岸沙
107/02/21,"22°02'13.2""","121°31'33.6""",,0.15,貝克/公斤-乾重,,,沉積物,,蘭嶼鄉蜜月灣,中山大學,岸沙
107/02/22,"22°01'30.0""","121°33'07.2""",,0.1,貝克/公斤-乾重,,,沉積物,,蘭嶼鄉八代灣,中山大學,岸沙
107/02/22,"22°02'59.6""","121°33'50.4""",,0.12,貝克/公斤-乾重,,,沉積物,,蘭嶼鄉東清灣,中山大學,岸沙
107/03/12,"22°21'36.54""","120°54'23.97""",,－,貝克/公斤-乾重,,,沉積物,,大武溪,偵測中心,岸沙
107/03/12,"22°41'56.13""","121°02'53.88""",,－,貝克/公斤-乾重,,,沉積物,,知本溪,偵測中心,岸沙
107/03/12,"22°31'34.48""","120°57'53.34""",,－,貝克/公斤-乾重,,,沉積物,,金崙溪,偵測中心,岸沙
107/03/13,"23°06'25.04""","121°23'21.34""",,0.16,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
107/03/13,"23°27'43.32""","121°29'56.60""",,－,貝克/公斤-乾重,,,沉積物,,秀姑巒溪,偵測中心,岸沙
107/03/13,"23°58'34.40""","121°37'11.12""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
107/03/13,"23°56'09.65""","121°36'29.60""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮溪,偵測中心,岸沙
107/03/13,"22°58'30.21""","121°18'29.27""",,－,貝克/公斤-乾重,,,沉積物,,馬武溪,偵測中心,岸沙
107/03/13,"23°11'26.14""","121°23'46.06""",,0.37,貝克/公斤-乾重,,,沉積物,,都威溪,偵測中心,岸沙
107/03/13,"23°08'04.22""","121°23'50.81""",,－,貝克/公斤-乾重,,,沉積物,,富家溪,偵測中心,岸沙
107/03/14,"22°20'18.03""","120°53'55.88""",,－,貝克/公斤-乾重,,,沉積物,R-9,大武漁港,偵測中心,岸沙
107/03/14,"22°47'29.20""","121°08'44.67""",,－,貝克/公斤-乾重,,,沉積物,,卑南溪,偵測中心,岸沙
107/03/15,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
107/03/15,"24°34'55.12""","121°52'06.06""",,0.32,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
107/03/18,"23°58'19.57""","120°19'25.65""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
107/03/18,"24°50'46.60""","120°55'25.45""",,0.16,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
107/03/19,"24°11'02.01""","120°30'17.61""",,0.44,貝克/公斤-乾重,,,沉積物,,烏溪,偵測中心,岸沙
107/03/21,"23°23'05.28""","120°09'03.83""",,－,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
107/03/21,"22°37'28.76""","120°15'48.20""",,0.1,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
107/04/02," 25°25'05.46""","122°12'20.52""",,－,貝克/公斤-乾重,,,沉積物,,基隆港,中山大學,海底沉積物
107/04/02,"25°26'46.55""","122°04'46.50""",,－,貝克/公斤-乾重,,,沉積物,,基隆港,中山大學,海底沉積物
107/04/10,"23°58'19.57""","120°19'25.65""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
107/04/10,"24°50'46.60""","120°55'25.45""",,0.2,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
107/04/11,"23°23'05.28""","120°09'03.83""",,0.06,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
107/04/15,"22°20'18.03""","120°53'55.88""",,－,貝克/公斤-乾重,,,沉積物,R-9,大武漁港,偵測中心,岸沙
107/04/15,"23°06'25.04""","121°23'21.34""",,0.08,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
107/04/15,"23°58'34.40""","121°37'11.12""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
107/04/19,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
107/04/23,"24°34'55.12""","121°52'06.06""",,0.41,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
107/05/05,"26°09'52.72""","119°57'11.29""",,－,貝克/公斤-乾重,,,沉積物,,馬祖牛角,中山大學,岸沙
107/05/05,"26°08'44.07""","119°54'45.91""",,－,貝克/公斤-乾重,,,沉積物,,馬祖津沙,中山大學,岸沙
107/05/05,"26°09'28.43""","119°55'42.43""",,－,貝克/公斤-乾重,,,沉積物,,馬祖珠螺,中山大學,岸沙
107/05/15,"22°37'28.76""","120°15'48.20""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
107/05/17,"24°29'20.70""","118°18'48.86""",,－,貝克/公斤-乾重,,,沉積物,,金門北山斷崖,中山大學,岸沙
107/05/17,"24°26'30.27""","118°27'26.27""",,0.26,貝克/公斤-乾重,,,沉積物,,金門金溪橋邊-1,中山大學,表土
107/05/17,"24°26'30.27""","118°27'26.27""",,－,貝克/公斤-乾重,,,沉積物,,金門金溪橋邊-2,中山大學,表土
107/05/17,"24°24'54.24""","118°26'01.89""",,－,貝克/公斤-乾重,,,沉積物,,金門料羅,中山大學,岸沙
107/05/17,"24°25'48.36""","118°19'20.13""",,－,貝克/公斤-乾重,,,沉積物,,金門浯江,中山大學,河沙
107/05/17,"24°31'37.6""","118°24'37.18""",,－,貝克/公斤-乾重,,,沉積物,,金門馬山觀測站,中山大學,岸沙
107/05/17,"24°26'07.88""","118°23'12.54""",,－,貝克/公斤-乾重,,,沉積物,,金門陳坑,中山大學,岸沙
107/05/17,"24°23'13.42""","118°19'25.94""",,－,貝克/公斤-乾重,,,沉積物,,金門翟山坑道,中山大學,岸沙
107/07/06,"22°37'28.76""","120°15'48.20""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
107/07/10,"23°58'19.57""","120°19'25.65""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
107/07/10,"24°50'46.60""","120°55'25.45""",,0.2,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
107/07/11,"23°23'05.28""","120°09'03.83""",,－,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
107/07/18,"22°47'27.60""","121°11'31.19""",,－,貝克/公斤-乾重,,,沉積物,,富岡漁港,偵測中心,岸沙
107/07/19,"23°06'25.04""","121°23'21.34""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
107/07/19,"23°27'43.32""","121°29'56.60""",,－,貝克/公斤-乾重,,,沉積物,,秀姑巒溪,偵測中心,岸沙
107/07/19,"23°58'34.40""","121°37'11.12""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
107/07/31,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
107/08/01,"24°34'55.12""","121°52'06.06""",,－,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
107/08/13,"26°09'51.90""","119°57'10.36""",,－,貝克/公斤-乾重,,,沉積物,,馬祖牛角,中山大學,岸沙
107/08/13,"26°08'43.64""","119°54'45.98""",,0.24,貝克/公斤-乾重,,,沉積物,,馬祖津沙,中山大學,岸沙
107/08/13,"26°09'29.21""","119°55'53.32""",,－,貝克/公斤-乾重,,,沉積物,,馬祖珠螺,中山大學,岸沙
107/08/17,"22°30'07.79""","120°10'22.80""",,0.34,貝克/公斤-乾重,,,沉積物,,高雄外海底泥,中山大學,海底沉積物
107/08/19,"22°08'00.30""","115°51'00.70""",,－,貝克/公斤-乾重,,,沉積物,,廣東汕尾重力岩心,中山大學,海底沉積物
107/08/20,"24°29'09.20""","118°18'14.30""",,－,貝克/公斤-乾重,,,沉積物,,金門北山斷崖,中山大學,岸沙
107/09/08,"22°30'44.81""","120°12'07.19""",,0.61,貝克/公斤-乾重,,,沉積物,,高雄外海底泥,中山大學,海底沉積物
107/10/04,"23°06'25.04""","121°23'21.34""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
107/10/04,"23°58'34.40""","121°37'11.12""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
107/10/04,"22°47'27.60""","121°11'31.19""",,0.07,貝克/公斤-乾重,,,沉積物,,富岡漁港,偵測中心,岸沙
107/10/16,"24°50'46.60""","120°55'25.45""",,0.15,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
107/10/16,"26°09'53.60""","119°57'10.97""",,－,貝克/公斤-乾重,,,沉積物,,馬祖牛角,中山大學,岸沙
107/10/16,"26°8'43.96""","119°54'45.17""",,－,貝克/公斤-乾重,,,沉積物,,馬祖津沙,中山大學,岸沙
107/10/16,"26°09'29.21""","119°55'53.32""",,0.19,貝克/公斤-乾重,,,沉積物,,馬祖珠螺,中山大學,岸沙
107/10/17,"23°58'19.57""","120°19'25.65""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
107/10/17,"23°23'05.28""","120°09'03.83""",,－,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
107/10/20,"24°29'20.70""","118°18'48.86""",,－,貝克/公斤-乾重,,,沉積物,,金門北山斷崖,中山大學,岸沙
107/10/21,"24°23'13.42""","118°19'25.94""",,－,貝克/公斤-乾重,,,沉積物,,金門翟山坑道,中山大學,岸沙
107/10/22,"24°24'54.24""","118°26'01.89""",,－,貝克/公斤-乾重,,,沉積物,,金門料羅,中山大學,岸沙
107/10/31,"24°34'55.12""","121°52'06.06""",,0.21,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
107/11/02,"22°37'28.76""","120°15'48.20""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
107/11/07,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
108/01/07,"24°16'55.70""","120°46'44.10""",,－,貝克/公斤-乾重,,,沉積物,,大甲溪,偵測中心,河沙
108/01/07,"24°39'59.85""","120°51'45.72""",,0.54,貝克/公斤-乾重,,,沉積物,,中港溪,偵測中心,河沙
108/01/07,"24°51'02.76""","120°55'47.60""",,－,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
108/01/07,"24°36'33.65""","120°47'02.04""",,－,貝克/公斤-乾重,,,沉積物,,後龍溪,偵測中心,河沙
108/01/07,"24°51'35.93""","120°56'58.26""",,－,貝克/公斤-乾重,,,沉積物,,鳳山溪,偵測中心,河沙
108/01/07,"24°50'37.57""","120°56'30.50""",,0.43,貝克/公斤-乾重,,,沉積物,,頭前溪,偵測中心,河沙
108/01/08,"23°58'19.09""","120°19'25.97""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,河沙
108/01/08,"22°37'29.60""","120°15'46.50""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
108/01/09,"23°22'55.42""","120°07'54.79""",,－,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
108/01/14,"23°29'13.50""","121°24'18.10""",,－,貝克/公斤-乾重,,,沉積物,,秀姑巒溪,偵測中心,岸沙
108/01/15,"23°10'59.10""","121°23'53.10""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
108/01/15,"24°19'16.30""","121°44'27.70""",,－,貝克/公斤-乾重,,,沉積物,,和平溪,偵測中心,河沙
108/01/15,"23°58'33.80""","121°37'10.00""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
108/01/15,"10°13'12.00""","114°12'35.99""",,－,貝克/公斤-乾重,,,沉積物,,南沙,海巡署,岸沙
108/01/15,"22°47'28.20""","121°11'28.30""",,－,貝克/公斤-乾重,,,沉積物,,富岡漁港,偵測中心,岸沙
108/01/18,"24°34'55.12""","121°52'06.06""",,－,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
108/01/25,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
108/01/28,"26°22'14.87""","120°29'02.75""",,－,貝克/公斤-乾重,,,沉積物,,東引,海巡署,岸沙
108/02/13,"23°34'12.00""","119°33'46.80""",,－,貝克/公斤-乾重,,,沉積物,,澎湖,海巡署,岸沙
108/02/14,"22°02'59.17""","121°33'50.75""",,0.07,貝克/公斤-乾重,,,沉積物,,蘭嶼東清村,偵測中心,岸沙
108/02/15,"22°01'29.69""","121°33'11.82""",,0.06,貝克/公斤-乾重,,,沉積物,,蘭嶼八代灣,偵測中心,岸沙
108/02/15,"22°02'48.98""","121°30'55.64""",,0.07,貝克/公斤-乾重,,,沉積物,,蘭嶼蜜月灣,偵測中心,岸沙
108/02/19,"26°09'28.80""","119°55'02.64""",,－,貝克/公斤-乾重,,,沉積物,,南竿,海巡署,岸沙
108/02/22,"24°24'39.00""","118°26'00.20""",,－,貝克/公斤-乾重,,,沉積物,,金門,海巡署,岸沙
108/03/21,"26°09'28.80""","119°55'02.64""",,0.11,貝克/公斤-乾重,,,沉積物,,南竿,海巡署,岸沙
108/03/27,"25°45'02.99""","121°15'28.20""",,0.14,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物
108/03/28,"25°11'50.99""","122°00'29.40""",,－,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物
108/03/28,"25°10'26.39""","121°57'39.59""",,－,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物
108/03/31,"22°15'12.60""","120°22'42.60""",,0.88,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物
108/03/31,"22°15'12.60""","120°22'42.60""",,0.68,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,岩心(樣品總計18cm切18份，詳見報告)
108/04/08,"23°58'33.80""","121°37'10.00""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
108/04/09,"23°10'59.10""","121°23'53.10""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
108/04/09,"22°47'29.20""","121°08'44.67""",,－,貝克/公斤-乾重,,,沉積物,,卑南溪,偵測中心,河沙
108/04/09,"23°43'55.30""","121°29'25.10""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮溪,偵測中心,岸沙
108/04/09,"22°47'28.20""","121°11'28.30""",,－,貝克/公斤-乾重,,,沉積物,,富岡漁港,偵測中心,岸沙
108/04/15,"24°02'46.40""","120°51'43.40""",,－,貝克/公斤-乾重,,,沉積物,,北港溪,偵測中心,河沙
108/04/15,"24°51'02.76""","120°55'47.60""",,－,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
108/04/15,"23°02'58.30""","120°05'14.80""",,－,貝克/公斤-乾重,,,沉積物,,曾文溪,偵測中心,河沙
108/04/15,"23°00'51.50""","120°10'56.80""",,0.15,貝克/公斤-乾重,,,沉積物,,鹽水溪,偵測中心,河沙
108/04/16,"23°19'30.70""","120°08'26.70""",,0.18,貝克/公斤-乾重,,,沉積物,,八掌溪,偵測中心,河沙
108/04/16,"24°22'07.00""","120°38'39.30""",,－,貝克/公斤-乾重,,,沉積物,,大安溪,偵測中心,河沙
108/04/16,"23°58'19.09""","120°19'25.97""",,0.08,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,河沙
108/04/16,"23°23'05.30""","120°09'03.80""",,－,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
108/04/16,"23°26'33.60""","120°10'06.10""",,0.22,貝克/公斤-乾重,,,沉積物,,朴子溪,偵測中心,河沙
108/04/16,"23°17'23.80""","120°08'30.40""",,0.26,貝克/公斤-乾重,,,沉積物,,急水溪,偵測中心,河沙
108/04/17,"22°54'54.30""","120°13'28.60""",,－,貝克/公斤-乾重,,,沉積物,,二仁溪,偵測中心,河沙
108/04/17,"22°47'46.90""","120°14'34.40""",,－,貝克/公斤-乾重,,,沉積物,,阿公店溪,偵測中心,河沙
108/04/17,"25°07'21.44""","121°27'39.84""",,0.86,貝克/公斤-乾重,,,沉積物,,淡水河,偵測中心,河沙
108/04/19,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
108/04/19,"22°37'29.60""","120°15'46.50""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
108/04/19,"22°28'40.60""","120°27'39.40""",,－,貝克/公斤-乾重,,,沉積物,,東港溪,偵測中心,河沙
108/04/19,"24°34'55.12""","121°52'06.06""",,0.24,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
108/04/20,"25°10'26.99""","121°55'14.40""",,－,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物
108/05/31,"20°41'59.99""","116°43'00.00""",,－,貝克/公斤-乾重,,,沉積物,,東沙,海巡署,岸沙
108/06/05,"21°35'34.68""","121°36'05.69""",,－,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物
108/06/18,"23°34'12.00""","119°33'46.80""",,0.07,貝克/公斤-乾重,,,沉積物,,澎湖,海巡署,岸沙
108/06/19,"24°50'57.83""","121°56'47.88""",,－,貝克/公斤-乾重,,,沉積物,,機動檢測,中山大學,海底沉積物
108/06/30,"10°22'26.00""","114°22'00.00""",,－,貝克/公斤-乾重,,,沉積物,,南沙,海巡署,岸沙
108/07/01,"23°58'33.80""","121°37'10.00""",,0.07,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
108/07/02,"23°10'59.10""","121°23'53.10""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
108/07/02,"22°47'28.20""","121°11'28.30""",,0.05,貝克/公斤-乾重,,,沉積物,,富岡漁港,偵測中心,岸沙
108/07/11,"22°04'06.30""","120°43'41.90""",,0.1,貝克/公斤-乾重,,,沉積物,,四重溪,偵測中心,河沙
108/07/16,"24°50'50.83""","120°55'28.19""",,0.18,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
108/07/16,"24°08'55.40""","120°31'10.70""",,－,貝克/公斤-乾重,,,沉積物,,烏溪,偵測中心,河沙
108/07/17,"24°16'55.70""","120°46'44.10""",,－,貝克/公斤-乾重,,,沉積物,,大甲溪,偵測中心,河沙
108/07/17,"23°58'19.09""","120°19'25.97""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
108/07/17,"23°23'05.30""","120°09'03.80""",,－,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
108/07/17,"23°49'33.20""","120°19'10.10""",,－,貝克/公斤-乾重,,,沉積物,,濁水溪,偵測中心,河沙
108/07/23,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
108/07/23,"24°34'55.12""","121°52'06.06""",,－,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
108/07/31,"22°37'29.60""","120°15'46.50""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
108/07/31,"22°39'44.80""","120°25'50.50""",,－,貝克/公斤-乾重,,,沉積物,,高屏溪,偵測中心,河沙
108/08/01,"25°06'00.70""","121°32'13.50""",,－,貝克/公斤-乾重,,,沉積物,,基隆河,偵測中心,河沙
108/08/10,"26°22'14.87""","120°29'02.75""",,0.65,貝克/公斤-乾重,,,沉積物,,東引,海巡署,岸沙
108/08/11,"26°09'32.39""","119°55'00.12""",,－,貝克/公斤-乾重,,,沉積物,,南竿,海巡署,岸沙
108/08/16,"24°24'39.00""","118°26'00.20""",,－,貝克/公斤-乾重,,,沉積物,,金門,海巡署,岸沙
108/08/28,"22°03'18.90""","121°33'51.90""",,－,貝克/公斤-乾重,,,沉積物,,蘭嶼東清村,偵測中心,岸沙
108/10/01,"24°51'02.76""","120°55'47.60""",,－,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
108/10/01,"22°03'18.90""","121°33'51.90""",,－,貝克/公斤-乾重,,,沉積物,,蘭嶼東清村,偵測中心,岸沙
108/10/02,"23°58'19.09""","120°19'25.97""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
108/10/02,"23°23'05.30""","120°09'03.80""",,－,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
108/10/07,"23°58'33.80""","121°37'10.00""",,－,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
108/10/08,"23°10'59.10""","121°23'53.10""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
108/10/08,"22°47'28.20""","121°11'28.30""",,－,貝克/公斤-乾重,,,沉積物,,富岡漁港,偵測中心,岸沙
108/10/15,"22°37'29.60""","120°15'46.50""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
108/10/15,"24°34'55.12""","121°52'06.06""",,0.31,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
108/10/18,"25°08'40.48""","121°47'29.32""",,0.05,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
108/11/13,"20°41'59.99""","116°43'00.00""",,－,貝克/公斤-乾重,,,沉積物,,東沙,海巡署,岸沙
109/01/07,"22°03'18.90""","121°33'51.90""",,－,貝克/公斤-乾重,,,沉積物,,蘭嶼東清村,偵測中心,岸沙
109/01/14,"22°37'29.60""","120°15'46.50""",,0.06,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
109/01/16,"23°10'59.10""","121°23'53.10""",,－,貝克/公斤-乾重,,,沉積物,R-8,成功漁港,偵測中心,岸沙
109/01/16,"23°58'33.80""","121°37'10.00""",,0.07,貝克/公斤-乾重,,,沉積物,R-7,花蓮港,偵測中心,岸沙
109/01/17,"22°20'06.30""","120°53'49.70""",,0.1,貝克/公斤-乾重,,,沉積物,R-9,大武漁港,偵測中心,岸沙
109/01/20,"24°51'02.76""","120°55'47.60""",,0.19,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
109/01/21,"23°58'19.09""","120°19'25.97""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
109/01/22,"23°23'05.30""","120°09'03.80""",,－,貝克/公斤-乾重,,,沉積物,,布袋漁港,偵測中心,岸沙
109/02/03,"25°08'40.48""","121°47'29.32""",,－,貝克/公斤-乾重,,,沉積物,R-5,八斗子,偵測中心,岸沙
109/02/03,"24°34'55.12""","121°52'06.06""",,0.3,貝克/公斤-乾重,,,沉積物,R-6,南方澳,偵測中心,岸沙
109/02/06,"25°03'04.70""","121°30'19.20""",,0.63,貝克/公斤-乾重,,,沉積物,,淡水河上游,偵測中心,河沙
109/02/06,"25°09'49.00""","121°25'18.30""",,0.29,貝克/公斤-乾重,,,沉積物,,淡水河下游,偵測中心,河沙
109/02/06,"25°07'31.20""","121°27'15.70""",,0.6,貝克/公斤-乾重,,,沉積物,,淡水河中游,偵測中心,河沙
109/03/16,"20°41'59.99""","116°43'00.00""",,－,貝克/公斤-乾重,,,沉積物,,東沙,海巡署,岸沙
109/03/17,"10°13'12.00""","114°12'35.99""",,－,貝克/公斤-乾重,,,沉積物,,南沙,海巡署,岸沙
109/03/18,"23°34'12.00""","119°33'46.80""",,0.09,貝克/公斤-乾重,,,沉積物,,澎湖觀音亭,偵測中心,岸沙
109/04/01,"22°37'29.60""","120°15'46.50""",,－,貝克/公斤-乾重,,,沉積物,R-1,西子灣,偵測中心,岸沙
109/04/08,"24°16'55.70""","120°46'44.10""",,－,貝克/公斤-乾重,,,沉積物,,大甲溪,偵測中心,河沙
109/04/08,"24°51'02.76""","120°55'47.60""",,0.15,貝克/公斤-乾重,,,沉積物,R-4,南寮漁港,偵測中心,岸沙
109/04/09,"23°58'19.09""","120°19'25.97""",,－,貝克/公斤-乾重,,,沉積物,R-3,王功漁港,偵測中心,岸沙
